date,avg_temp,min_temp,max_temp,daily_rainfall
7/1/20,21.1,18.1,24.3,0
7/2/20,24.2,20.4,29.8,
7/3/20,25.5,21.6,30.6,0.1
7/4/20,24.2,20.4,29.5,1.6
7/5/20,23.8,19.9,27.6,
7/6/20,25.6,21.8,30.9,
7/7/20,24.1,22.1,28.1,0
7/8/20,25.5,21.3,30.4,
7/9/20,27.5,21.8,32.9,
7/10/20,24.5,22.7,27.7,2.2
7/11/20,25.8,22.2,30.2,
7/12/20,23.5,21.7,26,2.9
7/13/20,18.7,17.7,21.7,47.6
7/14/20,20.3,17.2,24.3,11.5
7/15/20,23.4,18.9,28.7,
7/16/20,25,20.4,29.7,
7/17/20,26,21.5,31.6,0
7/18/20,26.1,22.8,31,
7/19/20,24,20.6,26.6,29.1
7/20/20,23.8,22.4,26.6,3.6
7/21/20,25,21.4,30.5,0
7/22/20,23.7,22.6,25.7,11.5
7/23/20,21.1,18.5,22.6,103.1
7/24/20,22.5,18.7,26.8,2.9
7/25/20,24.3,22.3,29,0
7/26/20,25.4,21.6,29.6,0
7/27/20,24.3,22.9,25.5,2.2
7/28/20,24.4,22.7,26.4,0.4
7/29/20,23.7,22.6,24.9,50.1
7/30/20,25.3,23.4,28.4,0.1
7/31/20,26.2,22.8,29.6,1.5
8/1/20,25.3,24.3,26.9,39.1
8/2/20,24.9,23.5,26.4,31.4
8/3/20,25,23.9,26.3,102.6
8/4/20,27,25,29.4,3.9
8/5/20,26.5,25.5,29.1,18.5
8/6/20,24.1,22.9,26,75.7
8/7/20,24.3,22.6,26.1,0
8/8/20,24.2,22.7,26.1,19.1
8/9/20,24.9,23.7,25.8,50.3
8/10/20,26.5,24.7,29.5,44.6
8/11/20,24.6,22.4,27.3,97
8/12/20,27.2,23.5,31.3,
8/13/20,28,26.3,30.3,
8/14/20,27.1,26.5,28,0.4
8/15/20,26.1,25,27,69
8/16/20,27.4,25.3,30.8,
8/17/20,28.2,26.1,32.2,
8/18/20,27.5,24,31.9,
8/19/20,27.1,23.6,31.4,
8/20/20,27.7,25,31.7,
8/21/20,26.6,25.2,29.2,2.5
8/22/20,24.3,21.7,27.6,42.6
8/23/20,25.3,21.5,29.9,
8/24/20,27.8,23.7,32,
8/25/20,29.9,26,34.5,
8/26/20,30.2,27,34.5,0.6
8/27/20,27.1,25.6,28.6,8.7
8/28/20,27.3,26,29.7,13.6
8/29/20,26.8,25.5,29,13.6
8/30/20,26.8,24.4,30.6,42.5
8/31/20,26.4,23.8,30,0
9/1/20,26.6,23.8,29.5,0
9/2/20,24.3,22.6,26.4,33.3
9/3/20,22.7,20,25.6,29.8
9/4/20,23.3,19.9,27.5,
9/5/20,23.3,19.2,27.3,
9/6/20,21.7,19.5,24.4,6.4
9/7/20,19.2,17.5,20.6,61
9/8/20,23.4,20.6,26.5,0
9/9/20,21.1,19,25.3,1.3
9/10/20,22.8,18.8,27,3.9
9/11/20,22.4,19.2,27.1,1.2
9/12/20,20.2,18.1,23.2,5.7
9/13/20,21.5,16.7,26.6,
9/14/20,21.3,17.6,24.9,0
9/15/20,23,18.9,27.7,
9/16/20,22.5,21.3,24.9,0.3
9/17/20,21.3,20.1,23.6,
9/18/20,21.5,18.1,25.8,
9/19/20,21.2,17.6,26.2,0.3
9/20/20,19.7,15.6,24.9,
9/21/20,19.1,13.6,25.3,
9/22/20,20.2,15.5,25.6,
9/23/20,19.2,15.2,23.8,
9/24/20,20.6,16.8,25.4,
9/25/20,20.1,16.6,25.4,
9/26/20,19.3,14.8,24.8,
9/27/20,20.4,14.9,25.8,
9/28/20,20.7,15.7,26.5,
9/29/20,19.6,15.3,23.9,
9/30/20,19.6,16.2,25.7,38.3
10/1/20,18.8,15.6,23.6,
10/2/20,19.2,16.3,21.9,0
10/3/20,19.9,18.3,23.2,0
10/4/20,16.6,10.6,21.8,0
10/5/20,13.3,8.5,18.4,
10/6/20,14.2,9.3,19.7,
10/7/20,16,9.9,22,
10/8/20,17.2,12.1,23.1,
10/9/20,17.2,12.4,23.3,
10/10/20,16.9,12.3,21.5,
10/11/20,16.9,12.7,20.8,
10/12/20,16.2,12.1,21.3,
10/13/20,13.6,8.6,18.4,
10/14/20,12.8,8.5,18,
10/15/20,11.7,6.5,18.5,
10/16/20,11.8,8.6,15.4,
10/17/20,13.1,8.7,18.6,
10/18/20,13.6,7.2,20.2,
10/19/20,15.1,9.8,21.3,
10/20/20,15.2,9.9,21.7,
10/21/20,14.1,11.8,17.3,
10/22/20,13.5,8.4,18.2,0
10/23/20,8.6,5.4,13.3,
10/24/20,8.7,3.2,14,
10/25/20,11.8,5.4,18.2,
10/26/20,12.9,8,19,
10/27/20,14,9,19.4,
10/28/20,13.8,8.6,18.2,
10/29/20,10.8,5.5,16.1,
10/30/20,11.9,5.8,19.6,
10/31/20,13.6,8.5,18.2,
